Job ID,Company ID,Role,Job Type,Remote/On-site,Career Level,Job Description,Suitable For,Requirements,Required Skills,Salary Min,Salary Max
1,1,Frontend Developer,Full-time,On-site,Junior,Develop and maintain UI components for web applications.,"Wheelchair, Deaf","Knowledge of HTML, CSS, JS","Frontend frameworks, responsive design","6,000,000","12,000,000"
2,2,Data Scientist,Full-time,On-site,Senior,Analyze and interpret complex data using statistical tools.,"Wheelchair, Dyslexia","Python, SQL","Data analysis, machine learning","10,000,000","25,000,000"
3,3,Marketing Specialist,Contract,Remote,Mid-level,Design and implement marketing strategies to attract customers.,Visual Impairment,Degree in Marketing or related,"Content creation, social media management","8,000,000","15,000,000"
4,4,Product Manager,Full-time,On-site,Senior,Oversee product development and lifecycle management.,Wheelchair,Experience in project management,"Product lifecycle management, stakeholder management","15,000,000","30,000,000"
5,5,UX Designer,Part-time,Remote,Junior,Design user-friendly interfaces for banking applications.,Wheelchair,"Figma, Adobe XD","Wireframing, prototyping","5,000,000","10,000,000"
6,6,Backend Developer,Full-time,On-site,Junior,Develop server-side logic and databases.,"Wheelchair, Deaf","JavaScript, Node.js","Server-side development, API integration","6,000,000","14,000,000"
7,7,Finance Analyst,Contract,On-site,Mid-level,Perform financial forecasting and reporting.,Hearing Impaired,"Accounting, Excel","Financial analysis, forecasting","9,000,000","18,000,000"
8,8,Pilot,Full-time,On-site,Mid-level,Operate and navigate aircraft safely and efficiently.,None,Valid pilot license,"Aircraft navigation, crisis management","20,000,000","40,000,000"
9,9,Software Engineer,Internship,On-site,Entry-level,Develop and test mobile applications.,"Wheelchair, Deaf","Java, Kotlin","Mobile app development, debugging","3,000,000","6,000,000"
10,10,Network Engineer,Full-time,On-site,Mid-level,Design and maintain network infrastructure.,"Wheelchair, Visual Impairment",Networking basics,"Network design, troubleshooting","8,000,000","16,000,000"
11,1,Frontend Developer,Full-time,On-site,Junior,Develop and maintain UI components for web applications.,"Wheelchair, Deaf","Knowledge of HTML, CSS, JS","Frontend frameworks, responsive design","6,000,000","12,000,000"
